order_id,order_date,ship_date,ship_mode,customer_id,segment,country,city,state,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
CA-2016-152156,2016-11-08,2016-11-11,"Second Class",CG-12520,Consumer,"United States",Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,"Bush Somerset Collection Bookcase",261.96,2,0.00,41.9136
CA-2016-152156,2016-11-08,2016-11-11,"Second Class",CG-12520,Consumer,"United States",Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.00,219.5820
CA-2016-138688,2016-06-12,2016-06-16,"Second Class",DV-13045,Corporate,"United States","Los Angeles",California,West,OFF-LA-10000240,"Office Supplies",Labels,"Self-Adhesive Address Labels for Typewriters by Universal",14.62,2,0.00,6.8714
US-2015-108966,2015-10-11,2015-10-18,"Standard Class",SO-20335,Consumer,"United States","Fort Lauderdale",Florida,South,FUR-TA-10000577,Furniture,Tables,"Bretford CR4500 Series Slim Rectangular Table",957.58,5,0.45,-383.0310
US-2015-108966,2015-10-11,2015-10-18,"Standard Class",SO-20335,Consumer,"United States","Fort Lauderdale",Florida,South,OFF-ST-10000760,"Office Supplies",Storage,"Eldon Fold 'N Roll Cart System",22.37,2,0.20,2.5164
CA-2014-115812,2014-06-09,2014-06-14,"Standard Class",BH-11710,Consumer,"United States","Los Angeles",California,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.00,14.1694
CA-2014-115812,2014-06-09,2014-06-14,"Standard Class",BH-11710,Consumer,"United States","Los Angeles",California,West,OFF-AR-10002833,"Office Supplies",Art,"Newell 322",7.28,4,0.00,1.9656
CA-2014-115812,2014-06-09,2014-06-14,"Standard Class",BH-11710,Consumer,"United States","Los Angeles",California,West,TEC-PH-10002275,Technology,Phones,"Mitel 5320 IP Phone VoIP phone",907.15,6,0.20,90.7152
CA-2014-115812,2014-06-09,2014-06-14,"Standard Class",BH-11710,Consumer,"United States","Los Angeles",California,West,OFF-BI-10003910,"Office Supplies",Binders,"DXL Angle-View Binders with Locking Rings by Samsill",18.50,3,0.20,5.7825
CA-2014-115812,2014-06-09,2014-06-14,"Standard Class",BH-11710,Consumer,"United States","Los Angeles",California,West,OFF-AP-10002892,"Office Supplies",Appliances,"Belkin F5C206VTEL 6 Outlet Surge",114.90,5,0.00,34.4700
